language,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
Arabic,0.03192488262910798,0,0,0.0029354207436399216,6.406149903907751e-4,0.0019569471624266144,0.0039177277179236044,0,0.005836575875486381,0.017625231910946195,0.005741626794258373,0.007889546351084813,0,0,0.001953125,0.001949317738791423,0.00390625,9.861932938856016e-4,0.0019138755980861245,0,9.49667616334283e-4,0,0,0.0010090817356205853,0.003925417075564278,0.007866273352999017,0.0045385779122541605
Basque,0,0,0,0,0,0,0,9.891196834817012e-4,0.008754863813229572,9.276437847866419e-4,0.010526315789473684,0,0,0,0,0.0029239766081871343,0,0,0,0.003988035892323031,9.49667616334283e-4,0,0,0.0010090817356205853,0,0,0
Bulgarian,0.0018779342723004694,0.9529529529529529,0,9.784735812133072e-4,0,9.784735812133072e-4,0,0.004945598417408506,0.0019455252918287938,0,0,0.0039447731755424065,0.002909796314258002,0,0,9.746588693957114e-4,0.00390625,0.0019723865877712033,0.0028708133971291866,0,0,0,0,0.0010090817356205853,0,0,0.0015128593040847202
Catalan,0,0,0,0,0,0,9.794319294809011e-4,0,0.08268482490272373,0,0,0,0,0,0.001953125,0,0,9.861932938856016e-4,0.003827751196172249,0.0029910269192422734,9.49667616334283e-4,0,0,0,0.002944062806673209,0,7.564296520423601e-4
Chinese,0.0018779342723004694,0,0,0,0.0019218449711723255,9.784735812133072e-4,9.794319294809011e-4,0,9.727626459143969e-4,9.276437847866419e-4,0,0,9.699321047526673e-4,0,0.001953125,0,0,9.861932938856016e-4,9.569377990430622e-4,0,0.001899335232668566,0,0,0,0,0,0.0022692889561270802
Croatian,0.0028169014084507044,0.001001001001001001,0,9.784735812133072e-4,0,0.0029354207436399216,9.794319294809011e-4,9.891196834817012e-4,0,9.276437847866419e-4,0,0,0,0,0.001953125,9.746588693957114e-4,0,0.0019723865877712033,0.016267942583732056,0,0.004748338081671415,0,0.04012036108324975,0,0,9.832841691248771e-4,0.0015128593040847202
Czech,0,0,0.9673590504451038,0,0.0012812299807815502,9.784735812133072e-4,0,9.891196834817012e-4,0,0,0,0,9.699321047526673e-4,9.671179883945841e-4,0.001953125,0,0,9.861932938856016e-4,9.569377990430622e-4,0.0029910269192422734,0.017094017094017096,0,0,0.004036326942482341,0,0.0019665683382497543,0.0030257186081694403
Danish,0.003755868544600939,0,0,0.961839530332681,0.0019218449711723255,0.0029354207436399216,0,0,0,0,0,0,0,0,0.00390625,9.746588693957114e-4,0,0,9.569377990430622e-4,0,0.005698005698005698,0,0,0,0,0.0029498525073746312,0.0022692889561270802
Dutch,0.5408450704225352,0,0,9.784735812133072e-4,0.0019218449711723255,0,0.0019588638589618022,0,0,0,0,0,9.699321047526673e-4,0,0.017578125,9.746588693957114e-4,0,0.9428007889546351,0.0028708133971291866,0,0.002849002849002849,0,0,0,0,0.0029498525073746312,0.0037821482602118004
English,0.004694835680751174,0.003003003003003003,0.006923837784371909,0.007827788649706457,0.02114029468289558,0.00684931506849315,0.9187071498530852,0.009891196834817012,0.0038910505836575876,0.012987012987012988,0.013397129186602871,0.009861932938856016,0,0,0.01953125,0,0.03515625,0.011834319526627219,0.0019138755980861245,0.015952143569292122,0.012345679012345678,0.0028957528957528956,0.0010030090270812437,0.0010090817356205853,0.005888125613346418,0.014749262536873156,0.8812405446293494
Estonian,0,0,0,0,0,0.7788649706457925,0,9.891196834817012e-4,0,0,0,0,9.699321047526673e-4,0.0019342359767891683,0,0,0,0,0,0,0.018043684710351376,0,0,0,0.007850834151128557,0,0.0022692889561270802
Finnish,0,0,0,9.784735812133072e-4,0,0.005870841487279843,0,0,0,0,0,0,0.0019398642095053346,9.671179883945841e-4,0.001953125,0,0,0,0,0,0,0,0,0,0.9313052011776252,0.010816125860373648,0.0022692889561270802
French,0.3511737089201878,0.001001001001001001,9.891196834817012e-4,0.0019569471624266144,0.004484304932735426,0,9.794319294809011e-4,0.003956478733926805,0.013618677042801557,0.9165120593692022,0.0028708133971291866,0,0,0,0.16015625,0,0,0.004930966469428008,9.569377990430622e-4,0,0.006647673314339981,0,0,0,0,0,0.009833585476550681
Galician,0,0,0,0,0,0,0,0,0.04961089494163424,0,0,0,0,0,0,0,0,0,9.569377990430622e-4,0,9.49667616334283e-4,0,0,0,0,9.832841691248771e-4,7.564296520423601e-4
German,0.003755868544600939,0,0.005934718100890208,0.00684931506849315,0.8654708520179372,0.0019569471624266144,0.0019588638589618022,0.002967359050445104,9.727626459143969e-4,0.011131725417439703,0,0,0,9.671179883945841e-4,0.017578125,0.003898635477582846,0,0.016765285996055226,0.9205741626794258,0.004985044865403789,0.001899335232668566,9.652509652509653e-4,0.003009027081243731,0.0030272452068617556,0,0.00688298918387414,0.00680786686838124
Greek,0,0,0,0,6.406149903907751e-4,0,0,0.9564787339268052,0,0,0,0.9506903353057199,0,0,0,9.746588693957114e-4,0,0,0.0019138755980861245,0,9.49667616334283e-4,0,0,0,0,9.832841691248771e-4,0.0015128593040847202
Hindi,0,0,0,0,0,0,9.794319294809011e-4,0,0,0,0,0,0,0,0,0,0,9.861932938856016e-4,0.0019138755980861245,0,0.003798670465337132,0,0,0,0,0,0.0037821482602118004
Hungarian,0.0028169014084507044,0,0,0,0.0012812299807815502,0,0,0,9.727626459143969e-4,0,9.569377990430622e-4,0,0,0,0,0.9805068226120858,0,9.861932938856016e-4,0.005741626794258373,0,9.49667616334283e-4,0.07818532818532818,0,0.09283551967709384,0,0.004916420845624385,7.564296520423601e-4
Irish/Gaelic,0,0,0,0,0,0,0.024485798237022526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037821482602118004
Italian,0.016901408450704224,0,0,9.784735812133072e-4,0.004484304932735426,0,9.794319294809011e-4,0,9.727626459143969e-4,0.0055658627087198514,0.9598086124401913,0,9.699321047526673e-4,0,0.048828125,0,0.005859375,0,0.0019138755980861245,0,9.49667616334283e-4,9.652509652509653e-4,0.003009027081243731,0,0,0,0.0030257186081694403
Japanese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.746588693957114e-4,0,0,0,0,0,0,0,0,0,0,0.0022692889561270802
Korean,0,0,0,0,0,0,0,0,0,0,0,0,9.699321047526673e-4,0,0,0,0,0,0,9.970089730807576e-4,0,0,0,0,0,0,0.0022692889561270802
Latvian,0,0,0,0,0,0.0029354207436399216,0.0039177277179236044,0,0,0,0,0,0.7080504364694471,0.0029013539651837525,0,0,0,0,0,0.0019940179461615153,0,0,0,0,0,9.832841691248771e-4,0.0022692889561270802
Lithuanian,0,0,0,0,0,9.784735812133072e-4,0.0039177277179236044,0,0,0,0,0,0.002909796314258002,0.9129593810444874,0,0,0,0,0,0,0,0,0,0,0,0,0.0045385779122541605
Luxembourgish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509765625,0,0.001953125,0,0,0,0,0,0,0,0,0,7.564296520423601e-4
Maltese,0,0,0,0,0,9.784735812133072e-4,0,0,0,0,0,0,0,0,0,0,0.9453125,0,0,0,0,0.0019305019305019305,0,0,0,0,0
Polish,0.0018779342723004694,0.001001001001001001,0.004945598417408506,0.0029354207436399216,0.020499679692504803,0,0.023506366307541625,0.002967359050445104,0,0.00463821892393321,0,0,0.005819592628516004,0.02804642166344294,0.00390625,0,0,9.861932938856016e-4,0.0028708133971291866,0.9431704885343968,0,9.652509652509653e-4,0,0.0010090817356205853,0.002944062806673209,0.0029498525073746312,0.01588502269288956
Portuguese,0.006572769953051643,0,0,0,0.0012812299807815502,0,9.794319294809011e-4,0,0.0029182879377431907,0.012987012987012988,0,0,0,0,0.1875,0,0,0.0029585798816568047,0,9.970089730807576e-4,0.9107312440645774,9.652509652509653e-4,0,0,0,0,0.006051437216338881
Romanian,0.0018779342723004694,0.001001001001001001,0,0,0.004484304932735426,0.0029354207436399216,0.0019588638589618022,0.004945598417408506,0.026264591439688716,0.0027829313543599257,0.0028708133971291866,0.01972386587771203,0,0,0.001953125,0.0029239766081871343,0,0,9.569377990430622e-4,0,0.004748338081671415,0.9111969111969112,0,0,0,0,0.0030257186081694403
Russian,0.003755868544600939,0.002002002002002002,0.0019782393669634025,0,0.04228058936579116,0.18590998043052837,9.794319294809011e-4,0.00791295746785361,9.727626459143969e-4,9.276437847866419e-4,9.569377990430622e-4,0.007889546351084813,0.27158098933074687,0.05029013539651837,0.00390625,0.001949317738791423,0,0,0.004784688995215311,0.019940179461615155,9.49667616334283e-4,9.652509652509653e-4,0,0,0.004906771344455349,0,0.0022692889561270802
Scottish Gaelic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953125,0,0,0,0,0,0.0010030090270812437,0.0010090817356205853,0,0,0.0022692889561270802
Slovak,9.389671361502347e-4,0,0.011869436201780416,9.784735812133072e-4,0,0,0.002938295788442703,0,9.727626459143969e-4,0,0,0,0,0,0,0,0.001953125,0,0.004784688995215311,9.970089730807576e-4,9.49667616334283e-4,0,0.0020060180541624875,0.8910191725529768,0,0,0
Slovenian,0,0,0,0,0.0019218449711723255,0,9.794319294809011e-4,0,9.727626459143969e-4,0,9.569377990430622e-4,0,0,0,0,0,0,0,0.0028708133971291866,9.970089730807576e-4,0,0,0.9488465396188566,0.0030272452068617556,9.813542688910696e-4,0,0
Spanish,0.003755868544600939,0,0,0.0019569471624266144,0.0012812299807815502,0,0.0019588638589618022,0,0.796692607003891,0.008348794063079777,0.0019138755980861245,0,9.699321047526673e-4,0,0.0078125,0,0,0.0039447731755424065,0.0019138755980861245,0,9.49667616334283e-4,0,0.0010030090270812437,0,0.001962708537782139,0.010816125860373648,0.0045385779122541605
Swedish,0,0,0,0.0029354207436399216,0,0,0,9.891196834817012e-4,9.727626459143969e-4,0,0,0,0,0,0.005859375,0,0,9.861932938856016e-4,0,0,0,0,0,0,0.03631010794896958,0.9292035398230089,7.564296520423601e-4
Turkish,0.018779342723004695,0.03803803803803804,0,0.0019569471624266144,0.023062139654067906,9.784735812133072e-4,0,9.891196834817012e-4,0,0.0037105751391465678,0,0,0,0,0,0,0,0.004930966469428008,0.015311004784688996,0,0,9.652509652509653e-4,0,0,9.813542688910696e-4,0,7.564296520423601e-4
Urdu,0,0,0,0.0029354207436399216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059001512859304
Welsh,0,0,0,0,0,9.784735812133072e-4,0.0019588638589618022,0,0,0,0,0,0,9.671179883945841e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.006051437216338881
